NET,BT
A&M-Corpus Christi,Texas A&M Corpus Chris
Albany (NY),Albany
Alcorn,Alcorn St.
Ark.-Pine Bluff,Arkansas Pine Bluff
Army West Point,Army
Bethune-Cookman,Bethune Cookman
Boston U.,Boston University
California Baptist,Cal Baptist
Central Ark.,Central Arkansas
Central Conn. St.,Central Connecticut
Central Mich.,Central Michigan
Charleston So.,Charleston Southern
Col. of Charleston,College of Charleston
CSU Bakersfield,Cal St. Bakersfield
CSUN,Cal St. Northridge
Detroit Mercy,Detroit
Eastern Ill.,Eastern Illinois
Eastern Ky.,Eastern Kentucky
Eastern Mich.,Eastern Michigan
Eastern Wash.,Eastern Washington
ETSU,East Tennessee St.
FGCU,Florida Gulf Coast
Fla. Atlantic,Florida Atlantic
Ga. Southern,Georgia Southern
Gardner-Webb,Gardner Webb
Grambling,Grambling St.
Kansas City,UMKC
La.-Monroe,Louisiana Monroe
Lamar University,Lamar
LIU,LIU Brooklyn
LMU (CA),Loyola Marymount
Louisiana,Louisiana Lafayette
Loyola Maryland,Loyola MD
McNeese,McNeese St.
Miami (FL),Miami FL
Miami (OH),Miami OH
Middle Tenn.,Middle Tennessee
Mississippi Val.,Mississippi Valley St.
N.C. A&T,North Carolina A&T
N.C. Central,North Carolina Central
NC State,North Carolina St.
North Ala.,North Alabama
Northern Ariz.,Northern Arizona
Northern Colo.,Northern Colorado
Northern Ill.,Northern Illinois
Northern Ky.,Northern Kentucky
Ole Miss,Mississippi
Omaha,Nebraska Omaha
Prairie View,Prairie View A&M
Purdue Fort Wayne,Fort Wayne
Saint Francis (PA),St. Francis PA
Saint Mary's (CA),Saint Mary's
Seattle U,Seattle
SFA,Stephen F. Austin
SIUE,SIU Edwardsville
South Fla.,South Florida
Southeast Mo. St.,Southeast Missouri St.
Southeastern La.,Southeastern Louisiana
Southern California,USC
Southern Ill.,Southern Illinois
Southern Miss.,Southern Miss
Southern U.,Southern
St. Francis Brooklyn,St. Francis NY
St. John's (NY),St. John's
UConn,Connecticut
UIC,Illinois Chicago
UIW,Incarnate Word
UMES,Maryland Eastern Shore
UNCW,UNC Wilmington
UNI,Northern Iowa
UT Martin,Tennessee Martin
UTRGV,UT Rio Grande Valley
Western Caro.,Western Carolina
Western Ill.,Western Illinois
Western Ky.,Western Kentucky
Western Mich.,Western Michigan